id;new_poste;Y1A_genre;Outil;Frequence
29;Data Analyst;Un homme;datastudio;Jamais
29;Data Analyst;Un homme;matlab;Jamais
31;Data Scientist;Un homme;python;Occasionnellement
31;Data Scientist;Un homme;r;Régulièrement
31;Data Scientist;Un homme;sas;Jamais
31;Data Scientist;Un homme;powerBI;Jamais
31;Data Scientist;Un homme;tableau;Jamais
31;Data Scientist;Un homme;qlik;Jamais
31;Data Scientist;Un homme;excel;Jamais
31;Data Scientist;Un homme;sql;Jamais
31;Data Scientist;Un homme;spark;Jamais
31;Data Scientist;Un homme;spss;Jamais
31;Data Scientist;Un homme;c_java;Jamais
31;Data Scientist;Un homme;datastudio;Jamais
31;Data Scientist;Un homme;matlab;Jamais
39;Data Analyst;Un homme;python;Régulièrement
39;Data Analyst;Un homme;r;Jamais
39;Data Analyst;Un homme;sas;Jamais
39;Data Analyst;Un homme;powerBI;Occasionnellement
39;Data Analyst;Un homme;tableau;Régulièrement
39;Data Analyst;Un homme;qlik;Jamais
39;Data Analyst;Un homme;excel;Régulièrement
39;Data Analyst;Un homme;sql;Régulièrement
39;Data Analyst;Un homme;spark;Jamais
39;Data Analyst;Un homme;spss;Jamais
39;Data Analyst;Un homme;c_java;Jamais
39;Data Analyst;Un homme;datastudio;Régulièrement
39;Data Analyst;Un homme;matlab;Jamais
41;Data Analyst;Un homme;python;Jamais
41;Data Analyst;Un homme;r;Jamais
41;Data Analyst;Un homme;sas;Jamais
41;Data Analyst;Un homme;powerBI;Occasionnellement
41;Data Analyst;Un homme;tableau;Jamais
41;Data Analyst;Un homme;qlik;Jamais
41;Data Analyst;Un homme;excel;Régulièrement
41;Data Analyst;Un homme;sql;Régulièrement
41;Data Analyst;Un homme;spark;Jamais
41;Data Analyst;Un homme;spss;Jamais
41;Data Analyst;Un homme;c_java;Jamais
41;Data Analyst;Un homme;datastudio;Jamais
41;Data Analyst;Un homme;matlab;Jamais
42;Data Analyst;Un homme;python;Régulièrement
42;Data Analyst;Un homme;r;Jamais
42;Data Analyst;Un homme;sas;Jamais
42;Data Analyst;Un homme;powerBI;Occasionnellement
42;Data Analyst;Un homme;tableau;Jamais
42;Data Analyst;Un homme;qlik;Jamais
42;Data Analyst;Un homme;excel;Régulièrement
42;Data Analyst;Un homme;sql;Régulièrement
42;Data Analyst;Un homme;spark;Jamais
42;Data Analyst;Un homme;spss;Jamais
42;Data Analyst;Un homme;c_java;Jamais
42;Data Analyst;Un homme;datastudio;Jamais
42;Data Analyst;Un homme;matlab;Jamais
43;Data Scientist;Une femme;python;Jamais
43;Data Scientist;Une femme;r;Occasionnellement
43;Data Scientist;Une femme;sas;Régulièrement
43;Data Scientist;Une femme;powerBI;Jamais
43;Data Scientist;Une femme;tableau;Jamais
43;Data Scientist;Une femme;qlik;Jamais
43;Data Scientist;Une femme;excel;Occasionnellement
43;Data Scientist;Une femme;sql;Jamais
43;Data Scientist;Une femme;spark;Jamais
43;Data Scientist;Une femme;spss;Jamais
43;Data Scientist;Une femme;c_java;Jamais
43;Data Scientist;Une femme;datastudio;Jamais
43;Data Scientist;Une femme;matlab;Jamais
44;Data Scientist;NA;python;Régulièrement
44;Data Scientist;NA;r;Jamais
44;Data Scientist;NA;sas;Jamais
44;Data Scientist;NA;powerBI;Jamais
44;Data Scientist;NA;tableau;Jamais
44;Data Scientist;NA;qlik;Jamais
44;Data Scientist;NA;excel;Régulièrement
44;Data Scientist;NA;sql;Régulièrement
44;Data Scientist;NA;spark;Jamais
44;Data Scientist;NA;spss;Jamais
44;Data Scientist;NA;c_java;Jamais
44;Data Scientist;NA;datastudio;Jamais
44;Data Scientist;NA;matlab;Jamais
46;Data Analyst;Une femme;python;Jamais
46;Data Analyst;Une femme;r;Jamais
46;Data Analyst;Une femme;sas;Jamais
46;Data Analyst;Une femme;powerBI;Régulièrement
46;Data Analyst;Une femme;tableau;Jamais
46;Data Analyst;Une femme;qlik;Jamais
46;Data Analyst;Une femme;excel;Régulièrement
46;Data Analyst;Une femme;sql;Régulièrement
46;Data Analyst;Une femme;spark;Jamais
46;Data Analyst;Une femme;spss;Jamais
46;Data Analyst;Une femme;c_java;Jamais
46;Data Analyst;Une femme;datastudio;Jamais
46;Data Analyst;Une femme;matlab;Jamais
47;Data Analyst;NA;python;Jamais
