id;new_poste;Y1A_genre;A4_secteur;A5_teleravail;A6_experience
148;Data Scientist;Une femme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
149;Data Engineer;Une femme;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);5
150;Data Analyst;Un homme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);0
153;Data Analyst;Un homme;Autre;Distanciel complet (pas de travail sur site);8
154;Data Analyst;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
156;Data Analyst;Une femme;Numérique / Web;Distanciel complet (pas de travail sur site);2
158;Data Analyst;Un homme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);9
160;Data Analyst;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
162;Data Engineer;NA;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;6
163;Data Scientist;Un homme;Transport;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;4
167;Data Analyst;Un homme;Industrie;Présentiel complet (pas ou quasiment pas de travail à distance);3
169;Data Scientist;Un homme;Santé;Présentiel complet (pas ou quasiment pas de travail à distance);3
171;Data Analyst;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
173;Data Scientist;NA;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
175;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
176;Data Engineer;NA;NA;NA;NA
177;Data Engineer;NA;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
178;Data Engineer;Un homme;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);2
179;Data Engineer;NA;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
180;Data Analyst;Un homme;Numérique / Web;Distanciel complet (pas de travail sur site);3
181;Data Engineer;Un homme;Industrie;Distanciel complet (pas de travail sur site);3
182;Data Scientist;Un homme;Numérique / Web;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;6
183;Data Engineer;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
184;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);2
185;Data Engineer;NA;NA;NA;NA
186;Data Engineer;Une femme;Autre;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;0
187;Data Analyst;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
188;Data Analyst;Un homme;Banques / assurances / finances;Présentiel complet (pas ou quasiment pas de travail à distance);1
189;Data Scientist;Un homme;Transport;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
190;Data Analyst;Un homme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);0
191;Data Scientist;Un homme;Industrie;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;3
197;Data Engineer;NA;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;0
200;Data Analyst;Un homme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);2
201;Data Engineer;Un homme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;6
202;Data Scientist;NA;Prestation de services informatiques / statistiques;Présentiel complet (pas ou quasiment pas de travail à distance);1
204;Data Scientist;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
205;Data Scientist;NA;Administration;Présentiel complet (pas ou quasiment pas de travail à distance);5
206;Data Scientist;Une femme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;1
208;Data Analyst;Un homme;Industrie;Mon activité est trop spécifique pour distinguer télétravail et présentiel;6
209;Data Scientist;Un homme;Administration;Présentiel complet (pas ou quasiment pas de travail à distance);5
210;Data Scientist;Un homme;Marketing;Hybride avec en moyenne un ou deux jours de télétravail / semaine;8
211;Data Analyst;Un homme;Autre;Distanciel complet (pas de travail sur site);0
214;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
215;Data Analyst;Un homme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
217;Data Analyst;Un homme;Numérique / Web;Distanciel complet (pas de travail sur site);5
221;Data Analyst;NA;Industrie;Distanciel complet (pas de travail sur site);2
222;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
